search_term,competition,competition_level
cnc shower caddy,1,Low
cnc gaming desk,29,Low Competition
cnc towel rack,34,Low
cnc bookend,96,Low
cnc pegboard,101,Medium-Low
cnc garden planter,103,Medium-Low
cnc floating shelf,131,Medium-Low
cnc plant stand,151,Medium-Low
cnc workshop organizer,199,Medium-Low
cnc wine rack,225,Medium-Low
cnc tech,253,Medium-Low
cnc tool holder,392,Medium-Low
