id,product_name,shop_name,price,monthly_sales,monthly_revenue,growth_rate,total_sales,reviews,listing_age_months,category,subcategory,search_term,competition,manufacturing_method,complexity,estimated_cogs,estimated_margin,opportunity_score,market_score,feasibility_score,profitability_score
29,Personalized PS5 and Xbox Controller and Headphone Stand,3dhobbyhub,94.03,70,7797.0,300,215,48,6,Gaming Accessories,controller_stands,gaming controller stand,6540,,,,,,,,
78,Personalized PS5 and Xbox Controller and Headphone Stand,3dhobbyhub,94.03,70,7797.0,300,215,48,6,gaming_accessories,controller_stands,gaming controller stand,6540,,,,,,,,
101,Personalized PS5 and Xbox Controller and Headphone Stand,3dhobbyhub,94.03,70,7797.0,300,215,48,6,,,gaming_accessories controller_stands,6540,Wood,Medium,,,59.2,46.0,82.0,54.0
178,Personalized PS5 and Xbox Controller and Headphone Stand,3dhobbyhub,94.03,70,7797.0,300,215,48,6,,,gaming_accessories controller_stands,6540,Wood,Medium,,,59.2,46.0,82.0,54.0
255,Personalized PS5 and Xbox Controller and Headphone Stand,3dhobbyhub,94.03,70,7797.0,300,215,48,6,,,gaming_accessories controller_stands,6540,Wood,Medium,,,59.2,46.0,82.0,54.0
79,"Solid wood oak coat hooks, Wall coat rack with shelf entryway",WoodDecorPW,135.0,57,7695.0,0,1561,287,50,branch,bathroom_organizers,bathroom organizer wood,4457,,,,,,,,
127,"Solid wood oak coat hooks, Wall coat rack with shelf entryway",WoodDecorPW,135.0,57,7695.0,0,1561,287,50,,,bathroom organizer wood,4457,Wood,Medium,,,55.599999999999994,31.0,82.0,62.0
204,"Solid wood oak coat hooks, Wall coat rack with shelf entryway",WoodDecorPW,135.0,57,7695.0,0,1561,287,50,,,bathroom organizer wood,4457,Wood,Medium,,,55.599999999999994,31.0,82.0,62.0
281,"Solid wood oak coat hooks, Wall coat rack with shelf entryway",WoodDecorPW,135.0,57,7695.0,0,1561,287,50,,,bathroom organizer wood,4457,Wood,Medium,,,55.599999999999994,31.0,82.0,62.0
30,Controller & Headphone Stand: Christmas Gifts For Him,SerdarWood,99.9,77,7692.0,150,186,42,26,Gaming Accessories,controller_stands,gaming controller stand,6540,,,,,,,,
80,Controller & Headphone Stand: Christmas Gifts For Him,SerdarWood,99.9,77,7692.0,150,186,42,26,gaming_accessories,controller_stands,gaming controller stand,6540,,,,,,,,
130,Controller & Headphone Stand: Christmas Gifts For Him,SerdarWood,99.9,77,7692.0,150,186,42,26,,,gaming_accessories controller_stands,6540,Wood,Medium,,,54.400000000000006,34.0,82.0,54.0
207,Controller & Headphone Stand: Christmas Gifts For Him,SerdarWood,99.9,77,7692.0,150,186,42,26,,,gaming_accessories controller_stands,6540,Wood,Medium,,,54.400000000000006,34.0,82.0,54.0
284,Controller & Headphone Stand: Christmas Gifts For Him,SerdarWood,99.9,77,7692.0,150,186,42,26,,,gaming_accessories controller_stands,6540,Wood,Medium,,,54.400000000000006,34.0,82.0,54.0
54,Dual wooden watch stand valet tray,SHANIKStore,79.99,99,7639.0,500,231,15,2,office_organization,,Wood Desk Organizers & Docking Stations,,,,,,,,,
51,Large Wild Olive Wood Board,Autmure,181.82,42,7636.0,300,471,154,26,kitchen_dining,,Live Edge Charcuterie Boards & Serving Trays,,,,,,,,,
81,Solid Wood Watch Box for Men with 10 Compartments and Cushions,SHANIKStore,159.0,35,6345.0,50,416,81,31,branch,watch_boxes,watch box wood display,1450,,,,,,,,
116,Solid Wood Watch Box for Men with 10 Compartments and Cushions,SHANIKStore,159.0,35,6345.0,50,416,81,31,,,watch box wood display,1450,Wood,Medium,,,57.39999999999999,40.0,82.0,56.0
193,Solid Wood Watch Box for Men with 10 Compartments and Cushions,SHANIKStore,159.0,35,6345.0,50,416,81,31,,,watch box wood display,1450,Wood,Medium,,,57.39999999999999,40.0,82.0,56.0
270,Solid Wood Watch Box for Men with 10 Compartments and Cushions,SHANIKStore,159.0,35,6345.0,50,416,81,31,,,watch box wood display,1450,Wood,Medium,,,57.39999999999999,40.0,82.0,56.0
82,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,150,35,23,branch,gaming_keyboard_stands,gaming keyboard stand wood,49,,,,,,,,
86,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,150,35,23,,,gaming keyboard stand wood,49,Wood,Medium,,,68.5,64.0,82.0,61.0
163,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,150,35,23,,,gaming keyboard stand wood,49,Wood,Medium,,,68.5,64.0,82.0,61.0
240,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,ZombieWoodworks,499.0,12,5988.0,200,150,35,23,,,gaming keyboard stand wood,49,Wood,Medium,,,68.5,64.0,82.0,61.0
83,Minimalist Pet Urn | Memorial Box | Walnut Wood,TwistedBranchDesigns,119.0,42,4998.0,100,340,65,10,branch,pet_memorial_urns,pet memorial urn wood,2606,,,,,,,,
131,Minimalist Pet Urn | Memorial Box | Walnut Wood,TwistedBranchDesigns,119.0,42,4998.0,100,340,65,10,,,pet memorial urn wood,2606,Wood,Medium,,,54.2,32.0,82.0,56.0
208,Minimalist Pet Urn | Memorial Box | Walnut Wood,TwistedBranchDesigns,119.0,42,4998.0,100,340,65,10,,,pet memorial urn wood,2606,Wood,Medium,,,54.2,32.0,82.0,56.0
285,Minimalist Pet Urn | Memorial Box | Walnut Wood,TwistedBranchDesigns,119.0,42,4998.0,100,340,65,10,,,pet memorial urn wood,2606,Wood,Medium,,,54.2,32.0,82.0,56.0
48,Wide Wood Watch Box,holmeandhadfield,475.0,10,4750.0,100,337,84,25,storage_organization,,Premium Wood Watch/Jewelry Boxes,,,,,,,,,
6,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,CarterPrintingCo,8.75,518,4533.0,50,8211,1671,18,3D Printed Products,desk_accessories,3D printed desk accessory,9806,,,,,,,,
84,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,CarterPrintingCo,8.75,518,4533.0,50,8211,1671,18,3d_printing,desk_accessories,3D printed desk accessory,9806,,,,,,,,
153,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,CarterPrintingCo,8.75,518,4533.0,50,8211,1671,18,,,3d_printing desk_accessories,9806,3D Printed,Medium,,,48.2,20.0,70.0,64.0
230,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,CarterPrintingCo,8.75,518,4533.0,50,8211,1671,18,,,3d_printing desk_accessories,9806,3D Printed,Medium,,,48.2,20.0,70.0,64.0
307,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,CarterPrintingCo,8.75,518,4533.0,50,8211,1671,18,,,3d_printing desk_accessories,9806,3D Printed,Medium,,,48.2,20.0,70.0,64.0
85,SET OF TWO Floating Wood Shelves – Premium Rustic Shelving,CraftsmanSmith,48.0,93,4464.0,83,1423,440,25,branch,floating_shelves,floating shelf wood wall,2606,,,,,,,,
152,SET OF TWO Floating Wood Shelves – Premium Rustic Shelving,CraftsmanSmith,48.0,93,4464.0,83,1423,440,25,,,floating shelf wood wall,2606,Wood,Medium,,,48.8,26.0,82.0,46.0
229,SET OF TWO Floating Wood Shelves – Premium Rustic Shelving,CraftsmanSmith,48.0,93,4464.0,83,1423,440,25,,,floating shelf wood wall,2606,Wood,Medium,,,48.8,26.0,82.0,46.0
306,SET OF TWO Floating Wood Shelves – Premium Rustic Shelving,CraftsmanSmith,48.0,93,4464.0,83,1423,440,25,,,floating shelf wood wall,2606,Wood,Medium,,,48.8,26.0,82.0,46.0
49,Wooden Watch Display Case,Objecttt,1399.0,3,4197.0,0,13,4,62,storage_organization,,Premium Wood Watch/Jewelry Boxes,,,,,,,,,
129,Custom Solid Wood Desk Shelf Monitor Stand with drawer storage,HomeDesignWell,642.38,6,3854.0,0,4,1,18,,,desk shelf monitor stand,1124,Wood,Medium,,,54.5,29.0,82.0,61.0
206,Custom Solid Wood Desk Shelf Monitor Stand with drawer storage,HomeDesignWell,642.38,6,3854.0,0,4,1,18,,,desk shelf monitor stand,1124,Wood,Medium,,,54.5,29.0,82.0,61.0
283,Custom Solid Wood Desk Shelf Monitor Stand with drawer storage,HomeDesignWell,642.38,6,3854.0,0,4,1,18,,,desk shelf monitor stand,1124,Wood,Medium,,,54.5,29.0,82.0,61.0
7,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,3D Printed Products,organizers,3D printed organizer,1387,,,,,,,,
31,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,Tech Accessories,cable_organizers,cable organizer desk,1387,,,,,,,,
97,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,,,tech_accessories cable_organizers,1387,Wood,Medium,,,60.8,50.0,82.0,54.0
117,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,,,3d_printing organizers,1387,3D Printed,Medium,,,57.2,50.0,70.0,54.0
174,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,,,tech_accessories cable_organizers,1387,Wood,Medium,,,60.8,50.0,82.0,54.0
194,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,,,3d_printing organizers,1387,3D Printed,Medium,,,57.2,50.0,70.0,54.0
251,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,,,tech_accessories cable_organizers,1387,Wood,Medium,,,60.8,50.0,82.0,54.0
271,Christmas Gift Custom Wood Cable Management Box,Sawitreartstudio,63.0,60,3780.0,400,221,33,7,,,3d_printing organizers,1387,3D Printed,Medium,,,57.2,50.0,70.0,54.0
55,Wooden Valet Tray with Drawer,SHANIKStore,299.0,11,3729.0,100,372,78,28,office_organization,,Wood Desk Organizers & Docking Stations,,,,,,,,,
99,Personalized Walnut Wood Valet Tray: Anniversary Gift for Him,BattleBornWoodShopLV,30.0,76,3320.0,300,1393,270,55,,,valet tray wood personalized,656,Wood,Medium,,,60.8,56.0,82.0,46.0
176,Personalized Walnut Wood Valet Tray: Anniversary Gift for Him,BattleBornWoodShopLV,30.0,76,3320.0,300,1393,270,55,,,valet tray wood personalized,656,Wood,Medium,,,60.8,56.0,82.0,46.0
253,Personalized Walnut Wood Valet Tray: Anniversary Gift for Him,BattleBornWoodShopLV,30.0,76,3320.0,300,1393,270,55,,,valet tray wood personalized,656,Wood,Medium,,,60.8,56.0,82.0,46.0
121,Olive Wood Utensil Set with Holder: 5 Handmade Essential Utensils,ArtisRaw,108.55,28,3274.0,100,700,177,72,,,utensil holder wood kitchen,1332,Wood,Medium,,,56.599999999999994,38.0,82.0,56.0
198,Olive Wood Utensil Set with Holder: 5 Handmade Essential Utensils,ArtisRaw,108.55,28,3274.0,100,700,177,72,,,utensil holder wood kitchen,1332,Wood,Medium,,,56.599999999999994,38.0,82.0,56.0
275,Olive Wood Utensil Set with Holder: 5 Handmade Essential Utensils,ArtisRaw,108.55,28,3274.0,100,700,177,72,,,utensil holder wood kitchen,1332,Wood,Medium,,,56.599999999999994,38.0,82.0,56.0
142,Walnut Monitor Stand: Solid Wood Desk Shelf with Steel Legs,KeelanScott,199.99,16,3200.0,0,844,234,27,,,desk shelf monitor stand,1124,Wood,Medium,,,52.1,29.0,82.0,53.0
219,Walnut Monitor Stand: Solid Wood Desk Shelf with Steel Legs,KeelanScott,199.99,16,3200.0,0,844,234,27,,,desk shelf monitor stand,1124,Wood,Medium,,,52.1,29.0,82.0,53.0
296,Walnut Monitor Stand: Solid Wood Desk Shelf with Steel Legs,KeelanScott,199.99,16,3200.0,0,844,234,27,,,desk shelf monitor stand,1124,Wood,Medium,,,52.1,29.0,82.0,53.0
144,"Custom Pet Urns - 3 Sizes Available, Wooden Personalized Pet Urns",ArtificiaDecor,45.99,65,2989.0,100,227,61,5,,,pet memorial urn wood,2606,Wood,Medium,,,51.199999999999996,32.0,82.0,46.0
221,"Custom Pet Urns - 3 Sizes Available, Wooden Personalized Pet Urns",ArtificiaDecor,45.99,65,2989.0,100,227,61,5,,,pet memorial urn wood,2606,Wood,Medium,,,51.199999999999996,32.0,82.0,46.0
298,"Custom Pet Urns - 3 Sizes Available, Wooden Personalized Pet Urns",ArtificiaDecor,45.99,65,2989.0,100,227,61,5,,,pet memorial urn wood,2606,Wood,Medium,,,51.199999999999996,32.0,82.0,46.0
146,"Simple Personalized Pet Urn, Memorial Box",TreeTopUrns,19.95,138,2753.0,33,4479,1143,38,,,pet memorial urn wood,2606,Wood,Medium,,,49.4,23.0,82.0,52.0
223,"Simple Personalized Pet Urn, Memorial Box",TreeTopUrns,19.95,138,2753.0,33,4479,1143,38,,,pet memorial urn wood,2606,Wood,Medium,,,49.4,23.0,82.0,52.0
300,"Simple Personalized Pet Urn, Memorial Box",TreeTopUrns,19.95,138,2753.0,33,4479,1143,38,,,pet memorial urn wood,2606,Wood,Medium,,,49.4,23.0,82.0,52.0
108,Engraved Wood Watch Box Personalized Men's Valet Tray Acacia 5 Watch Organizer,SHANIKStore,149.99,18,2720.0,100,113,16,38,,,valet tray wood personalized,656,Wood,Medium,,,58.1,44.0,82.0,53.0
185,Engraved Wood Watch Box Personalized Men's Valet Tray Acacia 5 Watch Organizer,SHANIKStore,149.99,18,2720.0,100,113,16,38,,,valet tray wood personalized,656,Wood,Medium,,,58.1,44.0,82.0,53.0
262,Engraved Wood Watch Box Personalized Men's Valet Tray Acacia 5 Watch Organizer,SHANIKStore,149.99,18,2720.0,100,113,16,38,,,valet tray wood personalized,656,Wood,Medium,,,58.1,44.0,82.0,53.0
8,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,3D Printed Products,organizers,3D printed organizer,1387,,,,,,,,
32,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,Tech Accessories,cable_organizers,cable organizer desk,1387,,,,,,,,
120,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,,,tech_accessories cable_organizers,1387,Wood,Medium,,,56.599999999999994,38.0,82.0,56.0
136,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,,,3d_printing organizers,1387,3D Printed,Medium,,,53.0,38.0,70.0,56.0
197,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,,,tech_accessories cable_organizers,1387,Wood,Medium,,,56.599999999999994,38.0,82.0,56.0
213,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,,,3d_printing organizers,1387,3D Printed,Medium,,,53.0,38.0,70.0,56.0
274,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,,,tech_accessories cable_organizers,1387,Wood,Medium,,,56.599999999999994,38.0,82.0,56.0
290,Wood Cable Management Box | Cable Organizer Box,VerdentEssence,120.0,22,2640.0,100,23,9,3,,,3d_printing organizers,1387,3D Printed,Medium,,,53.0,38.0,70.0,56.0
